Name,Type,Availability,Season,Responses,Percent
Bonongwe,Herbacious,Low,Dry,1,2.083333333
Bonongwe,Herbacious,High,Rainy,24,50
Chigwada,Tree,Varies,Dry,16,33.33333333
Chigwada,Tree,High,Rainy,7,14.58333333
Chimanga,Grass,,Dry,,
Chimanga,Grass,High,Rainy,19,39.58333333
Hedge,Tree,High,Dry,14,29.16666667
Hedge,Tree,Low,Rainy,27,56.25
Kabichi,Vegetable,High,Dry,14,29.16666667
Kabichi,Vegetable,Varies,Rainy,6,12.5
Kakhobo,Tree,Low,Dry,16,33.33333333
Kakhobo,Tree,Low,Rainy,20,41.66666667
Kapinga,Grass,Low,Dry,7,14.58333333
Kapinga,Grass,High,Rainy,36,75
Khlolowa,Creeper,Varies,Dry,20,41.66666667
Khlolowa,Creeper,High,Rainy,24,50
Koshasi,Tree,High,Dry,7,14.58333333
Koshasi,Tree,,Rainy,,
Malayina,Tree,High,Dry,25,52.08333333
Malayina,Tree,Varies,Rainy,11,22.91666667
Mbatatesi,Vegetable,Varies,Dry,12,25
Mbatatesi,Vegetable,High,Rainy,2,4.166666667
Mpoza,Tree,Varies,Dry,19,39.58333333
Mpoza,Tree,Varies,Rainy,5,10.41666667
Mtawa,Tree,High,Dry,46,95.83333333
Mtawa,Tree,Varies,Rainy,20,41.66666667
Nandolo,Vegetable,Low,Dry,21,43.75
Nandolo,Vegetable,High,Rainy,1,2.083333333
Nsenjere,Tree,Varies,Dry,16,33.33333333
Nsenjere,Tree,Low,Rainy,10,20.83333333
Nsipu,Grass,Low,Dry,3,6.25
Nsipu,Grass,High,Rainy,10,20.83333333
Nthochi,Tree,High,Dry,23,47.91666667
Nthochi,Tree,Varies,Rainy,3,6.25
Nthula,Tree,Varies,Dry,9,18.75
Nthula,Tree,Low,Rainy,11,22.91666667
